,Unnamed: 0,comment
79,79,"Kalau gak salah tinggal di tangerang mbah boning,,pernah beli ke warung saya pake motor honda repsol🙏apa kembaranya kali ya😃"
80,80,😊😊😊😊😊😊😊😊😊😊😊😊😊😊
81,81,"Undang alwi assegaf doong,,"
82,82,"TVRI beli tanah di depok, yg skrg bernama STUDIO ALAM TVRI"
83,83,Pasir berbisik..dian sastro sama Christin hakim ya??
84,84,Pak arswendo atwowiloto???
85,85,"Om indro itu lebih memotivasi  om boneng, supaya tdk. Sedih... tapi sebetulnya itu bukan solusi utk membantunya bangkit dari keterpurukan ekonomi"
86,86,"inget kata2 mbah boneng saat jd perampok makan klepon/onde2...

""ini dia makanan kesukaanku..Onde..Onde.."""
87,87,"Disini om indro kliatan lebih menonjol daripada om boneng, wkwk"
88,88,Makasie om boneng sdh bs saya ngakak2 d saat remaja dl liat film2 nya ..sehat sllu om boneng n om indro
89,89,"Dari sini mulai merasakan sesulit sulitnya berseni semua bisa di bungkam sama petinggi berkebutuhan monopoly

Sehat selalu seniman"" indonesia yang pernah terhalang karena bangsanya sendiri"
90,90,Kali aja om indro mau latihan jadi satpam lagi yang ngajar om Boneng 😂
91,91,Mas ded kok ga nanya. Mengapa kang diding selalu jadi pemeran antagonis di warkop.?😂😂
92,92,undang juga seniman ludruk kadir dan tarzan om
93,93,Bangga bgt gue liat om indro dan om boneng . 😊
94,94,"Om Dedi mohon maaf sebelumnya tolong sampaikan saya punya usul bisakah warkop DKI di ganti pemainya sama yang masih ada .
Doyok Kadir Indro (DKI) semoga usul saya diterima 🙏"
95,95,Suka dengan pembicaraan ini😊
96,96,"Om boneng saat diceritain punya saudara kembar lucu  bgt, yg satu giginya kinclong merah, kembarannya kinclong biru😂"
97,97,celana nya ada ikan
98,98,mau gimana pun tetep yaa kalo punya asuransi lebih tenang berkarya
99,99,Sedih !! ❤
100,100,Liat wajah om Indro bersinar .sahabat di warkop masih ada .om boneng .
101,101,ലി
102,102,pantesan sinetron sekarang pasang infus ditangan pasien aja salah 😂😂😂😂😂😂
103,103,duo legend👍👍👍
104,104,Makasih om ded undang sang legend beliau menghinur kami semasa kecil sehat selalu semua min
105,105,Om Indro merasa muda kembali ketika rekan seperjuangan nya nongol di depan nya 🤭😍😁
106,106,kangen warkopppp
